Msg,label,language
CONGRATULATIONS! FREE 2GB data is yours! Claim on Airtel Thanks App Now. Hurry i.airtel.in/e/csl_ml_2GB,spam,english
"Hi! Thank you for being with Vi-India's FASTEST 4G, Ookla-verified. We'd love to improve ourselves! Click http://bit.ly/3uU8D31 to share your feedback.",spam,english
"As part of Cyber Swachhta Pakhwada, CERT-In GoI advises you to keep your digital devices bot free. Get bot removal tool at https://www.csk.gov.in",spam,english
I will try to manage took tablets,ham,english
Study from Home with Vi!! Watch Kite Victers Channel FREE on your Mobile with Vi . Download Vi Movies and TV app now . Click bit.ly/Vi-kite2,spam,english
Get it fixed asap,ham,english
?image omitted,ham,english
Not sure if I can join by tomorrow morning,ham,english
"Hi, [1] new Home Loan offer for you | Rates start as low as 6.75% | EMIs from Rs. 649/lakh. Apply now. TnC apply bnkbzr.co/o68urxqDiB",spam,english
"The summer heat is here ! Get your AC, Air Cooler or Fridge now and pay later at no cost using Federal Bank Debit Card EMI ! Click https://fdrl.in/t/dPmgHO for the latest offers -Federal Bank",spam,english
Don't let security concerns ruin your travel plans! Get Airtel Xsafe- Wi-Fi enabled surveillance solution that sends real time alerts. Order now and get FREE installation i.airtel.in/PreEye,spam,english
"Rs299 recharged! Enjoy Unlimited Calls+4GB/Day+100SMS/Day. Valid for 28 Days.Your 1 yr ZEE5 Premium subscription credited! To activate, click bit.ly/ViZee5Offer",spam,english
Hi,ham,english
You're just 1 step away from FREE router! Get Airtel Xstream Fiber & enjoy up to 1 Gbps speeds on all your devices! Plans starting at just Rs 499! i.airtel.in/Exclusiveoffer,spam,english
Start discussing on topics,ham,english
"Happy 2021 to one and all. May all the obstructions and constraints be removed, may you have clarity and peace of mind and a healthy body in the new year",ham,english
I am working infront of ac now,ham,english
Fortunately buying PAYTM this week has turned out to be profitable,ham,english
This diwali let's do big savings. Get 75% off on salary withdrawals upto ?3000. Offer valid 25th Oct-13th Nov. Sign up now weurl.co/wiroNb Team Refyne,spam,english
Msg sent by mistake,ham,english
"Learning makes people grow continuously, and only with enough knowledge can you gain a firm foothold in this market. No matter which field you are in, you need to keep learning. Knowledge is the capital for you to accumulate wealth.",ham,english
Yes the trend is consistently upward After all we're making a profit,ham,english
Is the assistantÃ¢ÂÂs sharing tonight or tomorrow night,ham,english
I bought 200 shares,ham,english
Good evening everyoneÃ°ÂÂÂÃ°ÂÂÂ¼,ham,english
THE BIG BULL starring Abhishek Bachchan dekhiye Disney+ Hotstar VIP par. Vi ke naye 401 recharge pe paiye 1yr Disney+ Hotstar VIP & 100GB data (3GB/day +16GB) + Unlimited Calls; 28days. Click bit.ly/ViHotstar1,spam,english
"Biggest Diwali Offers@ VISHAL Mixer Grinder 3Jar(Mrp 2499) 45%OFF- Rs 1374 ONLY TODAY + FREE-VIP Trolley,Duffle Bag + 7.5% SBI Cashback TnC",spam,english
